菩萨蛮：中平中仄平平仄<，中平中仄平平仄>。中仄仄平平<，中平中仄平>。|中平平仄仄<，中仄中平仄>。中仄仄平平<，中平中仄平>。
定风波：中仄平平中仄平<，中平中仄仄平平>。中仄中平平中仄，中仄，中平中仄仄平平>。|中仄中平平仄仄。中仄，中平中仄仄平平>。中仄中平平仄仄，中仄，中平中仄仄平平>。
临江仙：仄仄平平平仄仄，仄平平仄平平<。仄平平仄仄平平>。仄平平仄，平仄仄，仄平平>。|仄仄仄平平仄仄，平平平仄平平>。仄平平仄仄平平>。平平平仄，平仄仄，仄平平>。
临江仙：中仄中平平仄仄，中平中仄平平<。中平中仄仄平平>。中平平仄仄，中仄仄平平>。|中仄中平平仄仄，中平中仄平平>。中平中仄仄平平>。中平平仄仄，中仄仄平平>。
鹧鸪天：中仄平平中仄平<，中平中仄仄平平>。中平中仄中平仄，中仄平平中仄平>。|中中仄，仄平平>，中平中仄仄平平>。中平中仄平平仄，中仄平平中仄平>。
虞美人：中平中仄平平仄<，中仄平平仄>。中平中仄仄平平<，中仄中平中仄仄平平>。|中平仄仄平平仄<，中仄平平仄>。仄平平仄仄平平<，中仄中平中仄仄平平>。
踏莎行：中仄平平，中平中仄<。中平中仄平平仄>。中平中仄仄平平，中平中仄平平仄>。|中仄平平，中平中仄>。中平中仄平平仄>。中平中仄仄平平，中平中仄平平仄>。
水龙吟：中平中仄平平，中平中仄平平仄<。中平中仄，中平中仄，中平中仄>。中仄平平，中平平仄，中平平仄>。仄中平中仄，中平中仄，中中仄、平平仄>。|中仄中平中仄>。仄平中、中平中仄>。中平仄仄，中平中仄，中平中仄>。中仄平平，中平中仄，中平平仄>。仄平平、仄仄平平仄仄，仄平平仄>。
贺新郎：中仄平平仄<，仄平平、中平中仄，中平平仄>。平仄平平平平仄，中仄中平中仄>。中中仄、中平中仄>，中仄中平平仄仄，仄中平、中仄平平仄>。中仄仄，中平仄>。|中平中仄平平仄>，仄中中、中中中中，中平中仄>。平仄平平平平中，中仄中平中仄>。仄中仄、中平中仄>，中仄中平平中仄，仄中平、中仄平平仄>。中仄仄，中平仄>。
行香子：平仄平平<。平仄平平>。平平仄、仄仄平平>。仄平仄仄，仄仄平平>。仄仄平平，平平仄，仄平平>。|平平平仄，平平平仄，仄平平、仄仄平平>。仄平平仄，平仄平平>。仄平平仄，平平仄，仄平平>。
点绛唇：中仄平平，中平中仄平平仄<。中平中仄>，中仄平平仄>。|中仄中平，中仄平平仄>。中中仄>，中平中仄>，中仄平平仄>。
永遇乐：中仄平平，中平中仄，中中平仄<。中仄平平，中平中仄，中仄平平仄>。中平中仄，中平中仄，中仄中平中仄>。中平中、平平中仄，中中仄中平仄>。|中平中仄，中中中仄，中仄中平平仄>。中仄平平，中平中仄，中仄平平仄>。中平中仄，中中中仄，中仄中平平仄>。中平中、中中中仄，中平仄仄>。
